CustomerId,geography,Age,age_band,age_band_sort,Tenure,tenure_band,tenure_band_sort,NumOfProducts,product_segment,product_segment_sort,CreditScore,Balance,EstimatedSalary,Gender,HasCrCard,IsActiveMember,member_status,credit_card_status,is_churned,churn_label
15565701,Spain,39,30-45,2,9,Loyal (5+ yr),3,1,1 Product,1,698,161993.89,90212.38,Female,0,0,Inactive,No Credit Card,0,Retained
15565706,Spain,35,30-45,2,1,Established (1-5 yr),2,1,1 Product,1,612,0.0,83256.26,Male,1,1,Active,Has Credit Card,1,Churned
15565714,France,47,45-60,3,1,Established (1-5 yr),2,2,2 Products,2,601,64430.06,96517.97,Male,0,1,Active,No Credit Card,0,Retained
15565779,Germany,30,30-45,2,6,Loyal (5+ yr),3,1,1 Product,1,627,57809.32,188258.49,Female,1,0,Inactive,Has Credit Card,0,Retained
15565796,Germany,48,45-60,3,10,Loyal (5+ yr),3,1,1 Product,1,745,96048.55,74510.65,Male,1,0,Inactive,Has Credit Card,0,Retained
15565806,France,38,30-45,2,9,Loyal (5+ yr),3,2,2 Products,2,532,0.0,30583.95,Male,0,0,Inactive,No Credit Card,0,Retained
15565878,Spain,29,Under 30,1,3,Established (1-5 yr),2,2,2 Products,2,631,0.0,197963.46,Male,1,1,Active,Has Credit Card,0,Retained
15565879,France,28,Under 30,1,9,Loyal (5+ yr),3,2,2 Products,2,845,0.0,56185.98,Female,1,1,Active,Has Credit Card,0,Retained
15565891,France,39,30-45,2,8,Loyal (5+ yr),3,2,2 Products,2,709,0.0,56214.09,Male,1,0,Inactive,Has Credit Card,0,Retained
15565996,France,44,30-45,2,8,Loyal (5+ yr),3,2,2 Products,2,653,0.0,154639.72,Male,1,1,Active,Has Credit Card,0,Retained
15566030,Germany,41,30-45,2,5,Established (1-5 yr),2,1,1 Product,1,497,80542.81,88729.22,Male,0,0,Inactive,No Credit Card,1,Churned
15566091,Spain,32,30-45,2,4,Established (1-5 yr),2,1,1 Product,1,545,0.0,94739.2,Female,1,0,Inactive,Has Credit Card,0,Retained
15566111,France,39,30-45,2,9,Loyal (5+ yr),3,1,1 Product,1,596,0.0,48963.59,Male,1,0,Inactive,Has Credit Card,0,Retained
15566139,France,37,30-45,2,5,Established (1-5 yr),2,1,1 Product,1,526,53573.18,62830.97,Female,1,0,Inactive,Has Credit Card,0,Retained
15566156,Germany,44,30-45,2,0,New (< 1 yr),1,2,2 Products,2,749,71497.79,151083.8,Female,0,0,Inactive,No Credit Card,0,Retained
15566211,Germany,41,30-45,2,1,Established (1-5 yr),2,1,1 Product,1,616,103560.57,236.45,Female,1,0,Inactive,Has Credit Card,1,Churned
15566251,France,37,30-45,2,5,Established (1-5 yr),2,1,1 Product,1,618,96652.86,98686.4,Female,1,0,Inactive,Has Credit Card,1,Churned
15566253,Germany,44,30-45,2,9,Loyal (5+ yr),3,1,1 Product,1,580,143391.07,146891.07,Male,0,0,Inactive,No Credit Card,1,Churned
15566269,France,25,Under 30,1,5,Established (1-5 yr),2,2,2 Products,2,787,0.0,47307.9,Male,1,0,Inactive,Has Credit Card,0,Retained
15566292,Spain,36,30-45,2,1,Established (1-5 yr),2,2,2 Products,2,574,0.0,71709.12,Male,0,1,Active,No Credit Card,0,Retained
15566295,France,33,30-45,2,6,Loyal (5+ yr),3,2,2 Products,2,761,138053.79,148779.41,Female,1,0,Inactive,Has Credit Card,0,Retained
15566312,Spain,42,30-45,2,5,Established (1-5 yr),2,3,3+ Products,3,660,0.0,189016.24,Female,1,1,Active,Has Credit Card,1,Churned
15566378,France,48,45-60,3,5,Established (1-5 yr),2,1,1 Product,1,515,129387.94,147955.91,Male,0,1,Active,No Credit Card,1,Churned
15566380,Spain,33,30-45,2,10,Loyal (5+ yr),3,2,2 Products,2,586,66948.67,140759.03,Female,1,1,Active,Has Credit Card,0,Retained
15566467,Germany,32,30-45,2,0,New (< 1 yr),1,2,2 Products,2,683,138171.1,188203.58,Female,1,1,Active,Has Credit Card,0,Retained
15566494,France,45,30-45,2,2,Established (1-5 yr),2,2,2 Products,2,487,0.0,77475.73,Male,1,0,Inactive,Has Credit Card,0,Retained
15566495,Spain,24,Under 30,1,2,Established (1-5 yr),2,1,1 Product,1,704,0.0,35600.25,Female,1,0,Inactive,Has Credit Card,1,Churned
15566531,Germany,33,30-45,2,4,Established (1-5 yr),2,1,1 Product,1,724,88046.88,186942.49,Male,0,1,Active,No Credit Card,1,Churned
15566543,Spain,44,30-45,2,9,Loyal (5+ yr),3,2,2 Products,2,573,0.0,107124.17,Male,1,0,Inactive,Has Credit Card,0,Retained
15566563,France,30,30-45,2,4,Established (1-5 yr),2,1,1 Product,1,777,137851.31,5008.23,Female,1,0,Inactive,Has Credit Card,1,Churned
15566594,Spain,23,Under 30,1,10,Loyal (5+ yr),3,2,2 Products,2,709,0.0,129590.18,Male,0,0,Inactive,No Credit Card,0,Retained
